"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 06 2008","2454685","239716801","15.73","5.71e-7","2.02e-7","-3.8","-","53.20","1e-8","0","bin1.log"
"Aug 09 2008","2454688","239976001","29.87","8.21e-7","2.25e-7","-3.8","-","56.05","1e-8","0","bin2.log"
"Aug 12 2008","2454691","240235201","9.11","4.80e-7","2.33e-7","-3.8","-","58.87","1e-8","0","bin3.log"
"Aug 15 2008","2454694","240494401","28.08","8.88e-7","2.56e-7","-3.8","-","61.67","1e-8","0","bin4.log"
"Aug 18 2008","2454697","240753601","8.56","4.98e-7","2.39e-7","-3.8","-","64.45","1e-8","0","bin5.log"
"Aug 21 2008","2454700","241012801","1.59","< 5.43e-7","-","-","-","67.21","1e-8","0","bin6.log"
"Aug 24 2008","2454703","241272001","0.78","< 4.83e-7","-","-","-","69.95","1e-8","0","bin7.log"
"Aug 27 2008","2454706","241531201","5.54","4.55e-7","2.81e-7","-3.8","-","72.68","1e-8","0","bin8.log"
"Aug 30 2008","2454709","241790401","13.92","6.85e-7","2.64e-7","-3.8","-","75.38","1e-8","0","bin9.log"
"Sep 02 2008","2454712","242049601","4.84","3.81e-7","2.29e-7","-3.8","-","78.07","1e-8","0","bin10.log"
"Sep 05 2008","2454715","242308801","3.25","< 5.94e-7","-","-","-","80.75","1e-8","0","bin11.log"
"Sep 08 2008","2454718","242568001","7.58","4.50e-7","2.26e-7","-3.8","-","83.41","1e-8","0","bin12.log"
"Sep 11 2008","2454721","242827201","4.53","3.29e-7","2.10e-7","-3.8","-","86.07","1e-8","0","bin13.log"
"Sep 14 2008","2454724","243086401","35.72","9.00e-7","2.12e-7","-3.8","-","88.72","1e-8","0","bin14.log"
"Sep 17 2008","2454727","243345601","23.26","7.14e-7","2.23e-7","-3.8","-","91.37","1e-8","0","bin15.log"
"Sep 20 2008","2454730","243604801","15.86","6.20e-7","2.19e-7","-3.8","-","94.01","1e-8","0","bin16.log"
"Sep 23 2008","2454733","243864001","53.08","1.09e-6","2.27e-7","-3.8","-","96.65","1e-8","0","bin17.log"
"Sep 26 2008","2454736","244123201","41.96","1.01e-6","2.32e-7","-3.8","-","99.29","1e-8","0","bin18.log"
"Sep 29 2008","2454739","244382401","15","6.48e-7","2.32e-7","-3.8","-","101.94","1e-8","0","bin19.log"
"Oct 02 2008","2454742","244641601","40.37","9.60e-7","2.22e-7","-3.8","-","104.60","1e-8","0","bin20.log"
"Oct 05 2008","2454745","244900801","27.5","8.96e-7","2.45e-7","-3.8","-","107.26","1e-8","0","bin21.log"
"Oct 08 2008","2454748","245160001","86.98","1.73e-6","2.80e-7","-3.8","-","109.94","1e-8","0","bin22.log"
"Oct 11 2008","2454751","245419201","15.01","7.15e-7","2.81e-7","-3.8","-","112.63","1e-8","0","bin23.log"
"Oct 14 2008","2454754","245678401","17.55","7.88e-7","2.66e-7","-3.8","-","115.34","1e-8","0","bin24.log"
"Oct 17 2008","2454757","245937601","4.2","4.15e-7","2.86e-7","-3.8","-","118.07","1e-8","0","bin25.log"
"Oct 20 2008","2454760","246196801","15.82","7.47e-7","2.82e-7","-3.8","-","120.81","1e-8","0","bin26.log"
"Oct 23 2008","2454763","246456001","19.13","8.02e-7","2.86e-7","-3.8","-","123.58","1e-8","0","bin27.log"
"Oct 26 2008","2454766","246715201","1.85","< 5.63e-7","-","-","-","126.38","1e-8","0","bin28.log"
"Oct 29 2008","2454769","246974401","13.34","5.83e-7","2.24e-7","-3.8","-","129.20","1e-8","0","bin29.log"
"Nov 01 2008","2454771","247233601","48.47","1.13e-6","2.38e-7","-3.8","-","132.05","1e-8","0","bin30.log"
"Nov 04 2008","2454774","247492801","13.61","5.35e-7","2.10e-7","-3.8","-","134.92","1e-8","0","bin31.log"
