"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 20 2008","2454699","240883201","97.78","5.28e-7","7.40e-8","-3.8","-","65.84","1e-8","0","bin1.log"
"Sep 19 2008","2454729","243475201","213","7.22e-7","7.10e-8","-3.8","-","92.69","1e-8","0","bin2.log"
"Oct 19 2008","2454759","246067201","210.18","8.27e-7","8.20e-8","-3.8","-","119.44","1e-8","0","bin3.log"
"Nov 18 2008","2454788","248659201","257.1","7.90e-7","7.20e-8","-3.8","-","148.24","1e-8","0","bin4.log"
"Dec 18 2008","2454819","251251201","64.15","4.34e-7","7.70e-8","-3.8","-","175.43","1e-8","0","bin5.log"
"Jan 17 2009","2454847","253843201","339.5","9.35e-7","7.50e-8","-3.8","-","146.02","1e-8","0","bin6.log"
"Feb 16 2009","2454877","256435201","713.23","1.44e-6","8.00e-8","-3.8","-","115.04","1e-8","0","bin7.log"
"Mar 18 2009","2454909","259027201","305.65","9.85e-7","8.40e-8","-3.8","-","86.41","1e-8","0","bin8.log"
"Apr 17 2009","2454939","261619201","191.39","6.61e-7","6.90e-8","-3.8","-","58.60","1e-8","0","bin9.log"
"May 17 2009","2454969","264211201","236.79","8.80e-7","8.50e-8","-3.8","-","29.72","1e-8","0","bin10.log"
"Jun 16 2009","2454998","266803201","541.67","1.21e-6","8.00e-8","-3.8","-","0.93","1e-8","0","bin11.log"
"Jul 16 2009","2455029","269395201","362.16","1.05e-6","8.30e-8","-3.8","-","31.84","1e-8","0","bin12.log"
"Aug 15 2009","2455058","271987201","186.65","7.11e-7","7.20e-8","-3.8","-","60.98","1e-8","0","bin13.log"
"Sep 14 2009","2455088","274579201","62.63","4.60e-7","8.30e-8","-3.8","-","88.07","1e-8","0","bin14.log"
"Oct 14 2009","2455118","277171201","100.01","6.08e-7","8.40e-8","-3.8","-","114.67","1e-8","0","bin15.log"
"Nov 13 2009","2455148","279763201","44.12","3.86e-7","8.20e-8","-3.8","-","143.00","1e-8","0","bin16.log"
"Dec 13 2009","2455178","282355201","115.45","6.41e-7","8.60e-8","-3.8","-","173.14","1e-8","0","bin17.log"
"Jan 12 2010","2455207","284947201","17.48","2.41e-7","8.00e-8","-3.8","-","151.66","1e-8","0","bin18.log"
"Feb 11 2010","2455237","287539201","129.23","6.28e-7","8.00e-8","-3.8","-","120.27","1e-8","0","bin19.log"
"Mar 13 2010","2455269","290131201","83.43","5.38e-7","8.20e-8","-3.8","-","91.29","1e-8","0","bin20.log"
"Apr 12 2010","2455299","292723201","78.25","4.95e-7","8.00e-8","-3.8","-","63.49","1e-8","0","bin21.log"
