"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","41.79","6.27e-7","1.39e-7","-3.8","-","55.10","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","45.96","7.36e-7","1.62e-7","-3.8","-","61.67","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","3.07","< 4.06e-7","-","-","-","68.13","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","14.51","4.69e-7","1.76e-7","-3.8","-","74.48","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","12.99","3.95e-7","1.50e-7","-3.8","-","80.75","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","36.27","6.10e-7","1.43e-7","-3.8","-","86.95","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","55.32","7.37e-7","1.44e-7","-3.8","-","93.13","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","70.87","8.77e-7","1.52e-7","-3.8","-","99.29","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","87.4","9.79e-7","1.51e-7","-3.8","-","105.49","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","87.73","1.14e-6","1.81e-7","-3.8","-","111.73","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","29.76","7.01e-7","1.81e-7","-3.8","-","118.07","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","18.16","5.12e-7","1.71e-7","-3.8","-","124.51","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","54.53","7.75e-7","1.52e-7","-3.8","-","131.09","1e-8","0","bin13.log"
"Nov 07 2008","2454777","247752001","184.08","1.36e-6","1.50e-7","-3.8","-","137.83","1e-8","0","bin14.log"
"Nov 14 2008","2454784","248356801","78.72","9.00e-7","1.49e-7","-3.8","-","144.73","1e-8","0","bin15.log"
"Nov 21 2008","2454791","248961601","13.81","3.71e-7","1.38e-7","-3.8","-","151.79","1e-8","0","bin16.log"
"Nov 28 2008","2454798","249566401","25.38","5.29e-7","1.53e-7","-3.8","-","158.98","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","24.76","5.82e-7","1.71e-7","-3.8","-","166.18","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","15","4.80e-7","1.78e-7","-3.8","-","172.92","1e-8","0","bin19.log"
"Dec 19 2008","2454820","251380801","9.84","3.57e-7","1.67e-7","-3.8","-","174.94","1e-8","0","bin20.log"
"Dec 26 2008","2454827","251985601","9.94","3.29e-7","1.47e-7","-3.8","-","169.00","1e-8","0","bin21.log"
"Jan 02 2009","2454833","252590401","16.36","4.03e-7","1.40e-7","-3.8","-","161.65","1e-8","0","bin22.log"
"Jan 09 2009","2454840","253195201","95.38","9.30e-7","1.44e-7","-3.8","-","154.10","1e-8","0","bin23.log"
"Jan 16 2009","2454847","253800001","126.45","1.13e-6","1.52e-7","-3.8","-","146.56","1e-8","0","bin24.log"
