"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 06 2008","2454685","239716801","8.42","9.18e-8","4.10e-8","-2.14","-","155.19","1e-8","0","bin1.log"
"Aug 09 2008","2454688","239976001","19.49","9.11e-8","3.53e-8","-2.14","-","155.67","1e-8","0","bin2.log"
"Aug 12 2008","2454691","240235201","13.87","9.87e-8","3.97e-8","-2.14","-","155.73","1e-8","0","bin3.log"
"Aug 15 2008","2454694","240494401","19.13","1.15e-7","4.07e-8","-2.14","-","155.38","1e-8","0","bin4.log"
"Aug 18 2008","2454697","240753601","4.57","5.64e-8","3.64e-8","-2.14","-","154.64","1e-8","0","bin5.log"
"Aug 21 2008","2454700","241012801","4.61","6.60e-8","4.00e-8","-2.14","-","153.54","1e-8","0","bin6.log"
"Aug 24 2008","2454703","241272001","19.75","1.29e-7","4.58e-8","-2.14","-","152.14","1e-8","0","bin7.log"
"Aug 27 2008","2454706","241531201","17.71","1.17e-7","4.33e-8","-2.14","-","150.47","1e-8","0","bin8.log"
"Aug 30 2008","2454709","241790401","12.93","1.30e-7","4.99e-8","-2.14","-","148.60","1e-8","0","bin9.log"
"Sep 02 2008","2454712","242049601","16.04","1.31e-7","5.50e-8","-2.14","-","146.54","1e-8","0","bin10.log"
"Sep 05 2008","2454715","242308801","4.8","6.78e-8","4.24e-8","-2.14","-","144.35","1e-8","0","bin11.log"
"Sep 08 2008","2454718","242568001","13.01","8.31e-8","4.61e-8","-2.14","-","142.04","1e-8","0","bin12.log"
"Sep 11 2008","2454721","242827201","0.16","< 9.37e-8","-","-","-","139.63","1e-8","0","bin13.log"
"Sep 14 2008","2454724","243086401","18.44","1.27e-7","5.38e-8","-2.14","-","137.16","1e-8","0","bin14.log"
"Sep 17 2008","2454727","243345601","10.36","5.10e-8","3.32e-8","-2.14","-","134.63","1e-8","0","bin15.log"
"Sep 20 2008","2454730","243604801","4.57","7.45e-8","4.59e-8","-2.14","-","132.05","1e-8","0","bin16.log"
"Sep 23 2008","2454733","243864001","6.8","5.72e-8","3.69e-8","-2.14","-","129.43","1e-8","0","bin17.log"
"Sep 26 2008","2454736","244123201","2.67","< 1.31e-7","-","-","-","126.79","1e-8","0","bin18.log"
"Sep 29 2008","2454739","244382401","25.36","1.57e-7","4.80e-8","-2.14","-","124.13","1e-8","0","bin19.log"
"Oct 02 2008","2454742","244641601","16.6","9.69e-8","3.93e-8","-2.14","-","121.45","1e-8","0","bin20.log"
"Oct 05 2008","2454745","244900801","4.41","5.09e-8","3.28e-8","-2.14","-","118.76","1e-8","0","bin21.log"
"Oct 08 2008","2454748","245160001","9.61","1.04e-7","4.56e-8","-2.14","-","116.07","1e-8","0","bin22.log"
"Oct 11 2008","2454751","245419201","5.58","5.96e-8","3.49e-8","-2.14","-","113.37","1e-8","0","bin23.log"
"Oct 14 2008","2454754","245678401","5.97","6.80e-8","3.80e-8","-2.14","-","110.68","1e-8","0","bin24.log"
"Oct 17 2008","2454757","245937601","3.84","< 1.12e-7","-","-","-","108.00","1e-8","0","bin25.log"
"Oct 20 2008","2454760","246196801","9.55","9.85e-8","4.41e-8","-2.14","-","105.34","1e-8","0","bin26.log"
"Oct 23 2008","2454763","246456001","9.35","1.02e-7","4.77e-8","-2.14","-","102.69","1e-8","0","bin27.log"
"Oct 26 2008","2454766","246715201","16.12","9.38e-8","4.16e-8","-2.14","-","100.06","1e-8","0","bin28.log"
"Oct 29 2008","2454769","246974401","10.96","9.68e-8","4.55e-8","-2.14","-","97.45","1e-8","0","bin29.log"
"Nov 01 2008","2454771","247233601","0.42","< 1.09e-7","-","-","-","94.88","1e-8","0","bin30.log"
"Nov 04 2008","2454774","247492801","10.7","1.34e-7","5.83e-8","-2.14","-","92.34","1e-8","0","bin31.log"
"Nov 07 2008","2454777","247752001","0","< 4.89e-8","-","-","-","89.84","1e-8","0","bin32.log"
